Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Dog Day Afternoon,1975.0,8.0,246494.0,"Biography, Crime, Drama",125.0,Film,R,-1.0,None,Moderate,Severe,Mild,Mild
Knocked Up,2007.0,6.9,359433.0,"Comedy, Romance",129.0,Film,R,-1.0,Severe,None,Severe,Severe,Mild
Zone Blanche,2007.0,7.5,9359.0,"Crime, Drama, Horror",52.0,Series,TV-MA,16.0,Mild,Moderate,No Rate,Mild,No Rate
What Dreams May Come,1998.0,7.0,105929.0,"Drama, Fantasy, Romance",113.0,Film,PG-13,-1.0,Mild,Mild,Moderate,None,Moderate
Kôkaku Kidôtai,1995.0,8.0,136141.0,"Animation, Action, Crime",83.0,Film,TV-MA,-1.0,Moderate,Moderate,Moderate,Mild,Moderate
Party of Five,1995.0,6.8,9916.0,"Drama, Family",60.0,Series,TV-PG,143.0,Mild,None,Mild,Moderate,None
Sex and the City 2,2010.0,4.5,76717.0,"Comedy, Drama, Romance",146.0,Film,R,-1.0,Moderate,None,Moderate,Mild,None
Code 8,2019.0,6.1,37309.0,"Action, Crime, Drama",98.0,Film,Not Rated,-1.0,Mild,Moderate,Severe,Moderate,Moderate
Begin Again,2013.0,7.4,149572.0,"Comedy, Drama, Music",104.0,Film,R,-1.0,None,None,Moderate,Mild,None
Black Christmas,1974.0,7.2,36911.0,"Horror, Mystery, Thriller",98.0,Film,R,-1.0,Mild,Moderate,Severe,Mild,Severe
Circle,2015.0,6.0,50827.0,"Drama, Horror, Mystery",87.0,Film,Not Rated,-1.0,None,Mild,Moderate,None,Mild
Scooby-Doo and Guess Who?,2015.0,7.3,1094.0,"Animation, Comedy, Family",22.0,Series,TV-PG,54.0,None,None,None,None,Mild
My Big Fat Greek Wedding,2002.0,6.6,125219.0,"Comedy, Drama, Romance",95.0,Film,PG,-1.0,Mild,None,Mild,Mild,None
The Dukes of Hazzard,2002.0,7.1,12450.0,"Action, Comedy",60.0,Series,TV-PG,146.0,Mild,No Rate,None,Mild,Mild
All the Bright Places,2020.0,6.5,25843.0,"Drama, Romance",107.0,Film,TV-MA,-1.0,Mild,Mild,Moderate,None,Moderate
Tolkien,2019.0,6.8,36951.0,"Biography, Drama, Romance",112.0,Film,PG-13,-1.0,None,Moderate,None,Mild,Mild
Equilibrium,2002.0,7.4,318971.0,"Action, Drama, Sci-Fi",107.0,Film,R,-1.0,None,Moderate,Mild,Mild,Moderate
Devious Maids,2002.0,7.8,22945.0,"Comedy, Drama, Mystery",60.0,Series,TV-PG,49.0,Moderate,No Rate,No Rate,No Rate,No Rate
Nine 1/2 Weeks,1986.0,6.0,39512.0,"Drama, Romance",117.0,Film,R,-1.0,Moderate,Mild,Mild,Mild,Mild
The Mortuary Collection,2019.0,6.4,10365.0,"Fantasy, Horror",108.0,Film,Not Rated,-1.0,Moderate,Severe,Mild,Mild,Moderate
Stronger,2017.0,6.9,43105.0,"Biography, Drama",119.0,Film,R,-1.0,Moderate,Moderate,Severe,Moderate,Moderate
Ghost World,2001.0,7.3,117873.0,"Comedy, Drama",111.0,Film,R,-1.0,Mild,None,Moderate,Mild,None
Frida,2002.0,7.4,85672.0,"Biography, Drama, Romance",123.0,Film,R,-1.0,Severe,Mild,Mild,Moderate,Mild
The Boss Baby,2017.0,6.3,117693.0,"Animation, Adventure, Comedy",97.0,Film,PG,-1.0,Mild,Mild,Mild,Mild,Mild
Piranha 3D,2010.0,5.4,88336.0,"Comedy, Fantasy, Horror",88.0,Film,R,-1.0,Severe,Severe,Severe,Severe,Severe
The Mist,2017.0,5.4,23670.0,"Drama, Horror, Mystery",42.0,Series,TV-14,10.0,Moderate,Severe,Moderate,Mild,Moderate
Unsane,2018.0,6.4,43944.0,"Drama, Horror, Mystery",98.0,Film,R,-1.0,Mild,Moderate,Severe,Moderate,Moderate
Donnie Brasco,1997.0,7.7,292084.0,"Biography, Crime, Drama",127.0,Film,R,-1.0,Mild,Severe,Severe,Moderate,Moderate
The Outer Limits,1997.0,7.7,12025.0,"Drama, Fantasy, Horror",44.0,Series,TV-PG,152.0,Severe,Severe,Severe,Severe,Moderate
City Slickers,1991.0,6.8,53176.0,"Comedy, Western",113.0,Film,PG-13,-1.0,Mild,Mild,Moderate,Mild,Mild
xXx: Return of Xander Cage,2017.0,5.2,89100.0,"Action, Adventure, Thriller",107.0,Film,PG-13,-1.0,Mild,Moderate,Moderate,Mild,Mild
Babel,2006.0,7.4,295983.0,Drama,143.0,Film,R,-1.0,Severe,Moderate,Moderate,Moderate,Moderate
A Monster Calls,2016.0,7.5,84879.0,"Adventure, Drama, Family",108.0,Film,PG-13,-1.0,None,Mild,None,None,Moderate
Dorian Gray,2009.0,6.2,62774.0,"Drama, Fantasy, Mystery",112.0,Film,R,-1.0,Severe,Severe,Mild,Moderate,Moderate
Siren,2009.0,7.0,13040.0,"Drama, Fantasy",60.0,Series,TV-PG,36.0,Mild,Mild,None,Mild,Mild
Gyeongiroun Somun,2009.0,8.1,4103.0,"Action, Fantasy, Horror",65.0,Series,TV-14,16.0,None,Severe,None,None,Severe
Scooby-Doo 2: Monsters Unleashed,2004.0,5.1,53616.0,"Adventure, Comedy, Family",93.0,Film,PG,-1.0,Mild,Mild,Mild,Mild,Mild
MILF,2018.0,4.7,5438.0,Comedy,101.0,Film,TV-MA,-1.0,Moderate,None,Mild,Mild,None
Along Came Polly,2004.0,6.0,131828.0,"Comedy, Romance",90.0,Film,PG-13,-1.0,Mild,None,Mild,Mild,None
Pacific Rim: Uprising,2018.0,5.6,111681.0,"Action, Adventure, Sci-Fi",111.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Moderate
Robot Chicken,2018.0,7.7,41398.0,"Animation, Short, Adventure",11.0,Series,TV-MA,219.0,Severe,Severe,Severe,Moderate,Moderate
Cars 2,2011.0,6.1,172513.0,"Animation, Adventure, Comedy",106.0,Film,G,-1.0,None,Moderate,None,Mild,Moderate
The Lost City of Z,2016.0,6.6,85124.0,"Biography, Drama",141.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Child 44,2015.0,6.5,68778.0,"Crime, Drama, History",137.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Moderate
Paul,2011.0,7.0,243738.0,"Adventure, Comedy, Sci-Fi",104.0,Film,R,-1.0,Mild,Mild,Severe,Moderate,Mild
The Beta Test,2021.0,6.9,128.0,"Horror, Thriller",93.0,Film,Unrated,-1.0,Mild,None,Moderate,Mild,None
RuPaul's Drag Race,2021.0,8.4,17543.0,"Game-Show, Reality-TV",63.0,Series,TV-14,179.0,Mild,None,Moderate,Mild,None
Hancock,2008.0,6.4,460654.0,"Action, Drama, Fantasy",92.0,Film,PG-13,-1.0,Mild,Moderate,Moderate,Moderate,Moderate
Hanna,2011.0,6.8,194732.0,"Action, Adventure, Drama",111.0,Film,PG-13,-1.0,Mild,Moderate,Moderate,None,Moderate
Nightbreed,1990.0,6.5,21635.0,"Action, Fantasy, Horror",102.0,Film,R,-1.0,Moderate,Severe,Moderate,Mild,Moderate
The Afterparty,1990.0,-1.0,-1.0,Comedy,-1.0,Series,None,8.0,No Rate,No Rate,No Rate,No Rate,No Rate
State of Play,2009.0,7.1,147986.0,"Crime, Drama, Mystery",127.0,Film,PG-13,-1.0,None,Moderate,Moderate,Mild,Mild
Sexy Beasts,2009.0,4.6,954.0,"Reality-TV, Romance",-1.0,Series,TV-14,12.0,No Rate,No Rate,No Rate,No Rate,No Rate
Spawn,1997.0,5.2,66200.0,"Action, Drama, Horror",96.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Rebecca,1940.0,8.1,131430.0,"Drama, Mystery, Romance",130.0,Film,Approved,-1.0,None,Mild,None,Mild,Mild
The Strangers: Prey at Night,2018.0,5.2,29360.0,Horror,85.0,Film,R,-1.0,None,Severe,Moderate,Mild,Severe
Gyakkyô burai Kaiji,2018.0,8.3,2651.0,"Animation, Action, Thriller",23.0,Series,TV-14,52.0,Mild,Severe,Moderate,Moderate,Severe
First Reformed,2017.0,7.1,52356.0,"Drama, Mystery, Thriller",113.0,Film,R,-1.0,None,Moderate,Mild,Moderate,Moderate
Growing Pains,2017.0,6.6,14337.0,"Comedy, Family",30.0,Series,TV-G,167.0,Severe,No Rate,No Rate,No Rate,No Rate
Jay and Silent Bob Reboot,2019.0,5.7,23109.0,"Action, Adventure, Comedy",105.0,Film,R,-1.0,Mild,Mild,Severe,Severe,None
The Darjeeling Limited,2007.0,7.2,189129.0,"Adventure, Comedy, Drama",91.0,Film,R,-1.0,Mild,Mild,Moderate,Mild,Mild
The Giver,2014.0,6.5,115430.0,"Drama, Romance, Sci-Fi",97.0,Film,PG-13,-1.0,None,Moderate,None,None,Mild
The Lords of Salem,2012.0,5.2,29093.0,"Horror, Thriller",101.0,Film,R,-1.0,Severe,Severe,Severe,Severe,Severe
