Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
No Time to Die,2021.0,7.6,107163.0,"Action, Adventure, Thriller",163.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
The Guilty,2021.0,6.3,64375.0,"Crime, Drama, Thriller",90.0,Film,R,-1.0,None,None,Severe,None,Moderate
The Many Saints of Newark,2021.0,6.4,27145.0,"Crime, Drama",120.0,Film,R,-1.0,Moderate,Severe,Severe,Moderate,Moderate
Venom: Let There Be Carnage,2021.0,6.4,30443.0,"Action, Adventure, Sci-Fi",97.0,Film,PG-13,-1.0,None,Moderate,Moderate,Mild,Moderate
Dune,2021.0,8.3,84636.0,"Action, Adventure, Drama",155.0,Film,PG-13,-1.0,None,Moderate,None,Mild,Moderate
Ted Lasso,2021.0,8.8,117562.0,"Comedy, Drama, Sport",30.0,Series,TV-MA,23.0,Mild,None,Severe,Mild,None
Free Guy,2021.0,7.3,153835.0,"Action, Adventure, Comedy",115.0,Film,PG-13,-1.0,Mild,Moderate,Moderate,None,Mild
House of the Dragon,2021.0,-1.0,-1.0,"Action, Adventure, Drama",-1.0,Series,None,10.0,No Rate,No Rate,No Rate,No Rate,No Rate
What If...?,2021.0,7.6,51959.0,"Animation, Action, Adventure",-1.0,Series,TV-14,18.0,None,Moderate,Mild,Mild,Moderate
Sex Education,2021.0,8.3,220201.0,"Comedy, Drama",45.0,Series,TV-MA,25.0,Severe,Mild,Severe,Moderate,Mild
The Walking Dead,2021.0,8.2,906327.0,"Drama, Horror, Thriller",44.0,Series,TV-14,177.0,Mild,Severe,Moderate,Mild,Severe
The Chestnut Man,2021.0,7.9,15434.0,"Crime, Drama, Mystery",50.0,Series,TV-MA,6.0,Mild,Moderate,Mild,None,Moderate
Foundation,2021.0,7.4,16675.0,"Drama, Sci-Fi",-1.0,Series,TV-14,11.0,Mild,Moderate,Mild,No Rate,Mild
The Sopranos,2021.0,9.2,340006.0,"Crime, Drama",55.0,Series,TV-MA,86.0,Severe,Severe,Severe,Severe,Severe
Only Murders in the Building,2021.0,8.3,22988.0,"Comedy, Crime, Drama",-1.0,Series,TV-MA,11.0,Mild,Moderate,Severe,Mild,Mild
American Horror Story,2021.0,8.0,296306.0,"Drama, Horror, Thriller",60.0,Series,TV-MA,116.0,Severe,Severe,Severe,Severe,Severe
Seinfeld,2021.0,8.8,272028.0,Comedy,22.0,Series,TV-PG,174.0,Mild,Mild,Mild,Mild,None
Grey's Anatomy,2021.0,7.5,275094.0,"Drama, Romance",41.0,Series,TV-14,384.0,Moderate,Severe,Mild,Moderate,Moderate
Game of Thrones,2021.0,9.2,1885776.0,"Action, Adventure, Drama",57.0,Series,TV-MA,73.0,Severe,Severe,Severe,Moderate,Severe
Black Widow,2021.0,6.8,246603.0,"Action, Adventure, Sci-Fi",134.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Moderate
The Last Duel,2021.0,7.7,6498.0,"Action, Drama, History",152.0,Film,R,-1.0,Severe,Severe,Moderate,Mild,Severe
Alice in Borderland,2021.0,7.7,33151.0,"Action, Fantasy, Mystery",50.0,Series,TV-MA,9.0,Moderate,Severe,Mild,Mild,Severe
Shang-Chi and the Legend of the Ten Rings,2021.0,7.9,109552.0,"Action, Adventure, Fantasy",132.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Mild
Billions,2021.0,8.4,80562.0,Drama,60.0,Series,TV-MA,72.0,Moderate,None,Severe,Moderate,None
Resident Evil: Welcome to Raccoon City,2021.0,-1.0,-1.0,"Action, Horror, Mystery",107.0,Film,R,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Spectre,2015.0,6.8,407514.0,"Action, Adventure, Thriller",148.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Casino Royale,2006.0,8.0,613873.0,"Action, Adventure, Thriller",144.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Lucifer,2006.0,8.1,288801.0,"Crime, Drama, Fantasy",42.0,Series,TV-14,93.0,Mild,Mild,Mild,Moderate,Mild
The Morning Show,2006.0,8.4,73736.0,Drama,60.0,Series,TV-MA,20.0,Mild,None,Severe,Mild,Mild
Halloween Kills,2021.0,6.1,20383.0,"Horror, Thriller",105.0,Film,R,-1.0,None,Severe,Severe,Mild,Severe
There's Someone Inside Your House,2021.0,4.8,7724.0,"Horror, Mystery, Thriller",96.0,Film,TV-MA,-1.0,Mild,Severe,Moderate,Moderate,Moderate
Malignant,2021.0,6.3,53310.0,"Crime, Horror, Mystery",111.0,Film,R,-1.0,None,Severe,Moderate,None,Severe
Wolf,2021.0,4.1,229.0,"Drama, Mystery, Thriller",98.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
La casa de papel,2021.0,8.2,393487.0,"Action, Crime, Drama",70.0,Series,TV-MA,41.0,Moderate,Moderate,Moderate,Mild,Moderate
"Tick, Tick... Boom!",2021.0,-1.0,-1.0,"Biography, Drama, Musical",115.0,Film,PG-13,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
The Night House,2020.0,6.5,14936.0,"Horror, Mystery, Thriller",107.0,Film,R,-1.0,Mild,Moderate,Moderate,Moderate,Severe
Succession,2020.0,8.7,66106.0,Drama,60.0,Series,TV-MA,29.0,Moderate,Mild,Severe,Moderate,None
La Brea,2020.0,5.2,3198.0,"Drama, Mystery, Sci-Fi",-1.0,Series,TV-14,5.0,None,Mild,No Rate,Mild,Mild
Venom,2018.0,6.7,414787.0,"Action, Adventure, Sci-Fi",112.0,Film,PG-13,-1.0,Mild,Moderate,Moderate,Mild,Moderate
Skyfall,2012.0,7.8,658977.0,"Action, Adventure, Thriller",143.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
NCIS: Naval Criminal Investigative Service,2012.0,7.7,130626.0,"Action, Crime, Drama",60.0,Series,TV-14,420.0,Mild,Moderate,Mild,Mild,Moderate
See,2012.0,7.6,59581.0,"Action, Drama, Sci-Fi",60.0,Series,TV-MA,17.0,Moderate,Severe,Moderate,None,Moderate
The Addams Family 2,2021.0,5.3,3798.0,"Animation, Adventure, Comedy",93.0,Film,PG,-1.0,Mild,Moderate,None,None,Mild
Big Sky,2021.0,6.8,11483.0,"Crime, Drama, Mystery",60.0,Series,TV-14,20.0,Mild,Moderate,Mild,Mild,Moderate
Peaky Blinders,2021.0,8.8,416006.0,"Crime, Drama",60.0,Series,TV-MA,36.0,Severe,Severe,Severe,Severe,Moderate
What We Do in the Shadows,2021.0,8.5,50078.0,"Comedy, Fantasy, Horror",30.0,Series,TV-MA,31.0,Moderate,Moderate,Moderate,Mild,Mild
Titane,2021.0,7.2,6076.0,"Drama, Horror, Sci-Fi",108.0,Film,R,-1.0,Severe,Severe,Severe,Moderate,Severe
American Crime Story,2021.0,8.4,87503.0,"Biography, Crime, Drama",42.0,Series,TV-MA,30.0,Moderate,Severe,Severe,Moderate,Severe
CSI: Vegas,2021.0,7.8,1313.0,Crime,-1.0,Series,TV-14,10.0,No Rate,No Rate,No Rate,No Rate,No Rate
Stranger Things,2021.0,8.7,918729.0,"Drama, Fantasy, Horror",51.0,Series,TV-14,34.0,Mild,Moderate,Moderate,Mild,Moderate
Titans,2021.0,7.6,82808.0,"Action, Adventure, Crime",45.0,Series,TV-MA,37.0,Moderate,Severe,Severe,Mild,Moderate
Goliath,2021.0,8.2,40575.0,Drama,60.0,Series,TV-MA,32.0,Moderate,Moderate,Severe,Severe,Moderate
Breaking Bad,2021.0,9.4,1593305.0,"Crime, Drama, Thriller",49.0,Series,TV-MA,62.0,Mild,Severe,Moderate,Severe,Severe
On My Block,2021.0,8.0,13772.0,"Comedy, Drama",30.0,Series,TV-14,38.0,Mild,Moderate,Moderate,Moderate,Mild
Old,2021.0,5.8,52713.0,"Drama, Horror, Mystery",108.0,Film,PG-13,-1.0,Mild,Moderate,Mild,None,Moderate
Y: The Last Man,2021.0,6.3,7780.0,"Action, Adventure, Drama",60.0,Series,TV-14,10.0,Mild,Moderate,Moderate,No Rate,No Rate
The Rookie,2021.0,8.0,27281.0,"Comedy, Crime, Drama",43.0,Series,TV-14,59.0,Mild,Moderate,Mild,Moderate,Mild
No One Gets Out Alive,2021.0,5.3,7573.0,"Drama, Horror, Mystery",85.0,Film,R,-1.0,None,Severe,Severe,No Rate,Severe
Law & Order: Special Victims Unit,2021.0,8.0,92115.0,"Crime, Drama, Mystery",60.0,Series,TV-14,502.0,Moderate,Moderate,Moderate,Moderate,Severe
Hocus Pocus,1993.0,6.9,110741.0,"Comedy, Family, Fantasy",96.0,Film,PG,-1.0,Mild,Mild,Mild,Mild,Moderate
The Office,1993.0,8.9,475207.0,Comedy,22.0,Series,TV-14,188.0,Mild,None,Mild,Mild,None
Chicago Fire,1993.0,8.0,46774.0,"Action, Drama",43.0,Series,TV-14,202.0,Mild,Moderate,Mild,Mild,Mild
Dune,1984.0,6.4,142157.0,"Action, Adventure, Sci-Fi",137.0,Film,PG-13,-1.0,Mild,Moderate,None,Mild,Moderate
You,1984.0,7.7,173763.0,"Crime, Drama, Romance",45.0,Series,TV-MA,31.0,Moderate,Moderate,Mild,Mild,Moderate
Den skyldige,2018.0,7.5,52965.0,"Crime, Drama, Thriller",85.0,Film,R,-1.0,None,None,Mild,None,Moderate
Quantum of Solace,2008.0,6.6,424649.0,"Action, Adventure, Thriller",106.0,Film,PG-13,-1.0,Mild,Moderate,Mild,Mild,Moderate
Doom Patrol,2008.0,7.9,43676.0,"Action, Adventure, Comedy",60.0,Series,TV-MA,35.0,Moderate,Severe,Severe,Mild,Moderate
Yellowstone,2008.0,8.6,48060.0,"Drama, Western",60.0,Series,TV-MA,32.0,Moderate,Moderate,Severe,Moderate,Moderate
The Suicide Squad,2021.0,7.3,224344.0,"Action, Adventure, Comedy",132.0,Film,R,-1.0,Moderate,Severe,Severe,Moderate,Severe
Friends,2021.0,8.8,903947.0,"Comedy, Romance",22.0,Series,TV-PG,235.0,Mild,None,Mild,Mild,None
Eternals,2021.0,-1.0,-1.0,"Action, Adventure, Drama",157.0,Film,PG-13,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Brooklyn Nine-Nine,2021.0,8.4,267096.0,"Comedy, Crime",22.0,Series,TV-14,153.0,Mild,Mild,Mild,Mild,Mild
Cruella,2021.0,7.4,174071.0,"Adventure, Comedy, Crime",134.0,Film,PG-13,-1.0,None,Mild,Mild,Mild,Mild
The Blacklist,2021.0,8.0,219628.0,"Crime, Drama, Mystery",43.0,Series,TV-14,177.0,None,Moderate,Mild,Mild,Mild
Supernatural,2021.0,8.4,411255.0,"Drama, Fantasy, Horror",44.0,Series,TV-14,327.0,Mild,Moderate,Mild,Mild,Moderate
Downton Abbey,2021.0,8.7,180688.0,"Drama, Romance",58.0,Series,TV-PG,52.0,Mild,Mild,Mild,Mild,Mild
Animal Kingdom,2021.0,8.2,30515.0,"Crime, Drama",60.0,Series,TV-MA,75.0,Moderate,Moderate,Moderate,Severe,Moderate
Criminal Minds,2021.0,8.1,177854.0,"Crime, Drama, Mystery",42.0,Series,TV-14,323.0,Mild,Severe,Mild,Mild,Severe
Halloween,1978.0,7.7,248788.0,"Horror, Thriller",91.0,Film,R,-1.0,Moderate,Moderate,Mild,Mild,Severe
Vigil,1978.0,7.3,10126.0,"Crime, Drama, Mystery",-1.0,Series,TV-MA,6.0,Mild,Moderate,Moderate,Moderate,Moderate
Infinite,2021.0,5.5,32451.0,"Action, Sci-Fi, Thriller",106.0,Film,PG-13,-1.0,None,Moderate,Moderate,Mild,Moderate
V/H/S/94,2021.0,5.5,3196.0,"Horror, Mystery, Thriller",103.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
The Good Doctor,2021.0,8.1,78703.0,Drama,41.0,Series,TV-14,80.0,Mild,Moderate,Mild,Mild,Mild
Dexter,2021.0,8.6,678377.0,"Crime, Drama, Mystery",53.0,Series,TV-MA,96.0,Moderate,Severe,Severe,Mild,Severe
The Green Knight,2021.0,6.6,53565.0,"Adventure, Drama, Fantasy",130.0,Film,R,-1.0,Moderate,Moderate,None,Mild,Moderate
Last Man Down,2021.0,-1.0,-1.0,Action,87.0,Film,R,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
The French Dispatch,2021.0,7.4,1370.0,"Comedy, Drama, Romance",108.0,Film,R,-1.0,Moderate,Mild,Moderate,Moderate,Mild
The Boys,2021.0,8.7,316047.0,"Action, Crime, Drama",60.0,Series,TV-MA,24.0,Severe,Severe,Severe,Moderate,Severe
Ridley Road,2021.0,6.6,704.0,Thriller,-1.0,Series,None,4.0,No Rate,No Rate,No Rate,No Rate,No Rate
Vikings,2021.0,8.5,472761.0,"Action, Adventure, Drama",44.0,Series,TV-MA,93.0,Severe,Severe,Mild,Mild,Severe
Spider-Man: No Way Home,2021.0,-1.0,-1.0,"Action, Adventure, Sci-Fi",-1.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Silent Witness,2021.0,7.8,7917.0,"Crime, Drama, Mystery",120.0,Series,TV-14,232.0,Severe,Severe,Moderate,Moderate,Severe
Ghosts,2021.0,7.0,1343.0,"Comedy, Fantasy",-1.0,Series,None,6.0,No Rate,No Rate,No Rate,No Rate,No Rate
The Card Counter,2021.0,6.2,9236.0,"Crime, Drama, Thriller",111.0,Film,R,-1.0,Moderate,Moderate,Moderate,Mild,Severe
Lamb,2021.0,6.7,2251.0,"Drama, Horror, Mystery",106.0,Film,R,-1.0,Moderate,Moderate,Mild,Mild,Moderate
Midsomer Murders,2021.0,7.8,28198.0,"Crime, Drama, Mystery",90.0,Series,TV-14,132.0,Mild,Moderate,Mild,Mild,Moderate
Rick and Morty,2021.0,9.2,436882.0,"Animation, Adventure, Comedy",23.0,Series,TV-MA,52.0,Moderate,Severe,Severe,Severe,Moderate
After We Fell,2021.0,5.0,2719.0,Drama,98.0,Film,R,-1.0,Moderate,Mild,Moderate,Moderate,Mild
Riverdale,2021.0,6.7,130524.0,"Crime, Drama, Mystery",45.0,Series,TV-14,98.0,Moderate,Moderate,Mild,Moderate,Moderate
The Harder They Fall,2021.0,5.2,315.0,"Drama, Western",130.0,Film,R,-1.0,Mild,Severe,Moderate,Moderate,Severe
Licorice Pizza,2021.0,-1.0,-1.0,"Comedy, Drama",-1.0,Film,R,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Chicago Med,2021.0,7.6,20080.0,Drama,43.0,Series,TV-14,126.0,Mild,Moderate,Mild,Mild,Moderate
The Lost Symbol,2021.0,6.7,2851.0,"Action, Adventure, Drama",-1.0,Series,TV-PG,8.0,None,Mild,Mild,None,Mild
Star Wars: Visions,2021.0,7.2,9175.0,"Animation, Action, Adventure",-1.0,Series,TV-PG,9.0,None,Mild,None,No Rate,Mild
Promising Young Woman,2020.0,7.5,132936.0,"Crime, Drama, Thriller",113.0,Film,R,-1.0,Mild,Moderate,Severe,Moderate,Moderate
Modern Family,2020.0,8.4,388093.0,"Comedy, Drama, Romance",22.0,Series,TV-PG,250.0,Mild,None,Mild,Mild,None
The Mandalorian,2020.0,8.8,359850.0,"Action, Adventure, Sci-Fi",40.0,Series,TV-14,24.0,None,Moderate,None,None,Moderate
Queenpins,2021.0,6.2,3525.0,"Comedy, Crime",110.0,Film,R,-1.0,None,None,Moderate,None,None
The Big Bang Theory,2021.0,8.1,753761.0,"Comedy, Romance",22.0,Series,TV-PG,280.0,Mild,None,Mild,Mild,None
The Wire,2021.0,9.3,306334.0,"Crime, Drama, Thriller",59.0,Series,TV-MA,60.0,Severe,Severe,Severe,Severe,Severe
Doctor Who,2021.0,8.6,207605.0,"Adventure, Drama, Family",45.0,Series,TV-PG,200.0,None,Mild,Mild,None,Moderate
Candyman,2021.0,6.0,35936.0,"Horror, Thriller",91.0,Film,R,-1.0,None,Severe,Moderate,Mild,Severe
The White Lotus,2021.0,7.7,37058.0,"Comedy, Drama",353.0,Series,TV-MA,7.0,Moderate,Mild,Moderate,Severe,None
The Witcher,2021.0,8.2,353732.0,"Action, Adventure, Fantasy",60.0,Series,TV-MA,17.0,Severe,Severe,Moderate,Mild,Moderate
The Starling,2021.0,6.3,6994.0,"Comedy, Drama",102.0,Film,PG-13,-1.0,Mild,None,Mild,Mild,None
Kate,2021.0,6.3,41301.0,"Action, Adventure, Crime",106.0,Film,R,-1.0,Mild,Severe,Severe,Mild,Moderate
The Sandman,2021.0,-1.0,-1.0,"Action, Adventure, Drama",-1.0,Series,None,11.0,No Rate,No Rate,No Rate,No Rate,No Rate
Knives Out,2019.0,7.9,537031.0,"Comedy, Crime, Drama",130.0,Film,PG-13,-1.0,None,Mild,Moderate,Mild,Mild
New Amsterdam,2019.0,8.1,30554.0,Drama,43.0,Series,TV-14,61.0,Mild,Moderate,Mild,Moderate,Moderate
Cry Macho,2021.0,5.8,13148.0,"Drama, Thriller, Western",104.0,Film,PG-13,-1.0,Mild,Mild,Moderate,Mild,Mild
Castle,2021.0,8.1,146732.0,"Comedy, Crime, Drama",43.0,Series,TV-14,173.0,Mild,Moderate,Mild,Mild,Moderate
Black Mirror,2021.0,8.8,482062.0,"Drama, Sci-Fi, Thriller",60.0,Series,TV-MA,22.0,Severe,Severe,Severe,Mild,Severe
Law & Order: Organized Crime,2021.0,7.6,4267.0,"Crime, Drama, Mystery",-1.0,Series,TV-14,14.0,Mild,Moderate,Moderate,Moderate,Moderate
Till Death,2021.0,5.8,12586.0,"Horror, Thriller",88.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Moderate
The Voyeurs,2021.0,5.9,10281.0,"Drama, Mystery, Thriller",120.0,Film,R,-1.0,Severe,Moderate,Mild,Moderate,Moderate
The Crown,2021.0,8.6,176135.0,"Biography, Drama, History",58.0,Series,TV-MA,60.0,Moderate,Mild,Mild,Mild,Mild
Better Call Saul,2021.0,8.8,359684.0,"Crime, Drama",46.0,Series,TV-MA,63.0,Mild,Moderate,Moderate,Moderate,Moderate
The Handmaid's Tale,2021.0,8.4,204512.0,"Drama, Sci-Fi, Thriller",60.0,Series,TV-MA,47.0,Severe,Severe,Moderate,Mild,Severe
Lost,2021.0,8.3,520422.0,"Adventure, Drama, Fantasy",44.0,Series,TV-14,119.0,Mild,Moderate,Mild,Moderate,Moderate
Outlander,2021.0,8.4,138887.0,"Drama, Fantasy, Romance",64.0,Series,TV-MA,87.0,Severe,Severe,Moderate,Mild,Moderate
The Simpsons,2021.0,8.6,381626.0,"Animation, Comedy",22.0,Series,TV-PG,731.0,Moderate,Moderate,Mild,Moderate,Mild
Dear Evan Hansen,2021.0,6.0,5468.0,"Drama, Musical",137.0,Film,PG-13,-1.0,Mild,None,Mild,Mild,Mild
CSI: Crime Scene Investigation,2021.0,7.6,80011.0,"Crime, Drama, Mystery",60.0,Series,TV-14,336.0,Mild,Severe,Mild,Mild,Moderate
Loki,2021.0,8.3,208457.0,"Action, Adventure, Fantasy",-1.0,Series,TV-14,7.0,None,Moderate,Mild,None,Moderate
It's Always Sunny in Philadelphia,2021.0,8.8,201983.0,Comedy,22.0,Series,TV-MA,157.0,Moderate,Mild,Severe,Severe,Mild
Hypnotic,2021.0,-1.0,-1.0,"Drama, Horror, Thriller",88.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Superstore,2021.0,7.8,39602.0,Comedy,22.0,Series,TV-14,113.0,Mild,Mild,Mild,Mild,None
The Resident,2021.0,7.7,22186.0,Drama,60.0,Series,TV-14,76.0,Mild,Mild,Mild,Mild,Mild
Gisaengchung,2019.0,8.6,669620.0,"Comedy, Drama, Thriller",132.0,Film,R,-1.0,Moderate,Severe,Moderate,Mild,Moderate
Mr. Robot,2019.0,8.5,354297.0,"Crime, Drama, Thriller",49.0,Series,TV-MA,45.0,Moderate,Severe,Severe,Severe,Severe
Last Night in Soho,2021.0,7.4,1122.0,"Drama, Horror, Mystery",116.0,Film,R,-1.0,Moderate,Moderate,Moderate,Mild,Moderate
Titanic,1997.0,7.8,1096676.0,"Drama, Romance",194.0,Film,PG-13,-1.0,Moderate,Moderate,Moderate,Mild,Severe
Shiddat,2021.0,8.0,8066.0,Romance,146.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Scream,2022.0,-1.0,-1.0,"Horror, Mystery, Thriller",120.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Ozark,2022.0,8.4,214799.0,"Crime, Drama, Thriller",60.0,Series,TV-MA,44.0,Severe,Severe,Severe,Severe,Severe
Rise of the Footsoldier: Origins,2021.0,6.4,1894.0,"Action, Crime, Drama",107.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
F9,2021.0,5.2,97696.0,"Action, Adventure, Crime",143.0,Film,PG-13,-1.0,None,Moderate,Mild,Mild,Moderate
Shingeki no kyojin,2021.0,9.0,255267.0,"Animation, Action, Adventure",24.0,Series,TV-MA,86.0,Mild,Severe,Moderate,Mild,Severe
365 dni,2020.0,3.3,67739.0,"Drama, Romance",114.0,Film,TV-MA,-1.0,Severe,Mild,Moderate,Moderate,Mild
Archer,2020.0,8.6,144917.0,"Animation, Action, Comedy",22.0,Series,TV-MA,135.0,Moderate,Severe,Severe,Severe,Moderate
How I Met Your Mother,2020.0,8.3,635038.0,"Comedy, Romance",22.0,Series,TV-14,208.0,Moderate,None,Mild,Moderate,None
Chehre,2021.0,6.6,21358.0,"Drama, Mystery, Thriller",139.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Young Sheldon,2021.0,7.5,41356.0,Comedy,30.0,Series,TV-PG,90.0,Mild,None,Mild,Mild,None
The Batman,2022.0,-1.0,-1.0,"Action, Crime, Drama",-1.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Black Mafia Family,2022.0,6.8,930.0,"Biography, Crime, Drama",-1.0,Series,None,9.0,No Rate,No Rate,No Rate,No Rate,No Rate
Manifest,2022.0,7.1,39468.0,"Drama, Mystery, Sci-Fi",43.0,Series,TV-14,62.0,Mild,Mild,Mild,None,Mild
S.W.A.T.,2022.0,7.1,18353.0,"Action, Adventure, Crime",43.0,Series,TV-14,89.0,Mild,Moderate,Mild,Mild,Moderate
Friday Night Lights,2022.0,8.6,60640.0,"Drama, Sport",44.0,Series,TV-14,76.0,Mild,Mild,Mild,Moderate,None
9-1-1,2022.0,7.8,26981.0,"Action, Drama, Thriller",43.0,Series,TV-14,65.0,Mild,Moderate,Mild,Mild,Moderate
Heat,1995.0,8.2,609446.0,"Crime, Drama, Thriller",170.0,Film,R,-1.0,Mild,Severe,Severe,Mild,Moderate
Old Henry,2021.0,7.2,4233.0,Western,99.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
Chicago P.D.,2021.0,8.1,32212.0,"Action, Crime, Drama",43.0,Series,TV-14,171.0,Mild,Moderate,Mild,Moderate,Moderate
Shameless,2021.0,8.5,217452.0,"Comedy, Drama",46.0,Series,TV-MA,134.0,Severe,Moderate,Severe,Severe,Moderate
The Expanse,2021.0,8.5,123865.0,"Drama, Mystery, Sci-Fi",60.0,Series,TV-14,62.0,Moderate,Moderate,Moderate,Mild,Moderate
Muppets Haunted Mansion,2021.0,6.7,2929.0,"Adventure, Comedy, Family",52.0,Film,TV-PG,-1.0,None,Mild,Mild,None,Moderate
Westworld,2021.0,8.6,453101.0,"Drama, Mystery, Sci-Fi",62.0,Series,TV-MA,35.0,Severe,Severe,Severe,Moderate,Moderate
American Rust,2021.0,7.0,1915.0,"Crime, Drama",-1.0,Series,TV-MA,9.0,Severe,No Rate,No Rate,No Rate,No Rate
Ghosts,2021.0,8.2,8577.0,"Comedy, Fantasy",30.0,Series,TV-14,19.0,Mild,Mild,Mild,Mild,None
Fear the Walking Dead,2021.0,6.9,120421.0,"Drama, Horror, Sci-Fi",44.0,Series,TV-MA,101.0,Mild,Severe,Mild,Mild,Severe
Cinderella,2021.0,4.2,33916.0,"Adventure, Comedy, Family",113.0,Film,PG,-1.0,Mild,None,Mild,None,None
Bridgerton,2021.0,7.3,89503.0,"Drama, Romance",60.0,Series,TV-MA,16.0,Severe,Mild,Mild,Mild,Mild
Halloween,2018.0,6.5,132934.0,"Crime, Horror, Thriller",106.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Severe
The Addams Family,2019.0,5.8,33649.0,"Animation, Adventure, Comedy",86.0,Film,PG,-1.0,None,Mild,None,Mild,Mild
House M.D.,2019.0,8.7,432280.0,"Drama, Mystery",44.0,Series,TV-14,176.0,Mild,Moderate,Mild,Moderate,Moderate
Good Girls,2019.0,7.8,44113.0,"Comedy, Crime, Drama",43.0,Series,TV-14,50.0,Mild,Moderate,Mild,Moderate,Mild
The Flash,2019.0,7.6,325626.0,"Action, Adventure, Drama",43.0,Series,TV-PG,165.0,Mild,Mild,Mild,Mild,Mild
Scream,1996.0,7.3,304350.0,"Horror, Mystery",111.0,Film,R,-1.0,Mild,Severe,Moderate,Mild,Severe
Suits,1996.0,8.4,380478.0,"Comedy, Drama",44.0,Series,TV-14,134.0,Mild,Mild,Moderate,Moderate,None
Once Upon a Time... in Hollywood,2019.0,7.6,643564.0,"Comedy, Drama",161.0,Film,R,-1.0,Mild,Severe,Severe,Moderate,Moderate
My Little Pony: A New Generation,2021.0,7.0,2247.0,"Animation, Adventure, Comedy",90.0,Film,PG,-1.0,None,Mild,None,None,Mild
Jungle Cruise,2021.0,6.6,113396.0,"Action, Adventure, Comedy",127.0,Film,PG-13,-1.0,None,Moderate,None,Mild,Moderate
Gilmore Girls,2021.0,8.1,110011.0,"Comedy, Drama",44.0,Series,TV-PG,154.0,Mild,None,Mild,Mild,None
True Detective,2021.0,8.9,524326.0,"Crime, Drama, Mystery",55.0,Series,TV-MA,24.0,Severe,Severe,Severe,Severe,Severe
Bones,2021.0,7.8,147495.0,"Comedy, Crime, Drama",40.0,Series,TV-14,245.0,Mild,Severe,Mild,Mild,Moderate
American Horror Stories,2021.0,6.1,12381.0,"Drama, Horror, Thriller",45.0,Series,TV-MA,8.0,Moderate,Severe,Severe,Moderate,Severe
Intrusion,2021.0,5.2,8561.0,"Drama, Thriller",92.0,Film,TV-14,-1.0,None,Mild,Mild,Mild,Moderate
Leverage: Redemption,2021.0,8.8,13554.0,"Crime, Mystery, Thriller",-1.0,Series,TV-14,16.0,Moderate,Moderate,None,Moderate,Mild
Blade Runner 2049,2017.0,8.0,502751.0,"Action, Drama, Mystery",164.0,Film,R,-1.0,Moderate,Moderate,Moderate,Mild,Moderate
The X Files,2017.0,8.6,209643.0,"Crime, Drama, Mystery",45.0,Series,TV-14,217.0,Mild,Moderate,Mild,Mild,Severe
Ordinary Joe,2017.0,6.6,1391.0,Drama,-1.0,Series,TV-G,7.0,Mild,No Rate,No Rate,No Rate,No Rate
Schitt's Creek,2017.0,8.5,97987.0,Comedy,22.0,Series,TV-14,80.0,Mild,None,Moderate,Mild,None
The Matrix Resurrections,2021.0,-1.0,-1.0,"Action, Sci-Fi",140.0,Film,None,-1.0,No Rate,No Rate,No Rate,No Rate,No Rate
The Vampire Diaries,2021.0,7.7,298419.0,"Drama, Fantasy, Horror",43.0,Series,TV-14,171.0,Moderate,Moderate,Mild,Moderate,Moderate
Grantchester,2021.0,7.9,11403.0,"Crime, Drama, Mystery",45.0,Series,TV-14,39.0,Mild,Mild,Mild,Severe,Mild
Blue Bayou,2021.0,7.1,1833.0,Drama,117.0,Film,R,-1.0,No Rate,Moderate,Moderate,Mild,Moderate
The Matrix,1999.0,8.7,1767660.0,"Action, Sci-Fi",136.0,Film,R,-1.0,Mild,Moderate,Moderate,Mild,Moderate
Manhunt,1999.0,7.5,6268.0,"Biography, Crime, Drama",45.0,Series,TV-14,7.0,None,Mild,Severe,Mild,Mild
